INFO:root:V = 8211  D = 10768
INFO:root:[ iteration ] l2-l1  -974190.604 - -974213.093 = 22.490 
INFO:root:[ iteration ]  step 87
INFO:root:[ iteration ] l2-l1  -974167.174 - -974190.604 = 23.429 
INFO:root:[ iteration ]  step 88
INFO:root:[ iteration ] l2-l1  -974143.222 - -974167.174 = 23.953 
INFO:root:[ iteration ]  step 89
INFO:root:[ iteration ] l2-l1  -974117.809 - -974143.222 = 25.413 
INFO:root:[ iteration ]  step 90
INFO:root:[ iteration ] l2-l1  -974093.267 - -974117.809 = 24.542 
INFO:root:[ iteration ]  step 91
INFO:root:[ iteration ] l2-l1  -974071.782 - -974093.267 = 21.485 
INFO:root:[ iteration ]  step 92
INFO:root:[ iteration ] l2-l1  -974051.434 - -974071.782 = 20.348 
INFO:root:[ iteration ]  step 93
INFO:root:[ iteration ] l2-l1  -974031.685 - -974051.434 = 19.749 
INFO:root:[ iteration ] End EM 
INFO:root:z = 3 eps = -974031.684661
INFO:root:Topic 0
INFO:root:planning : 0.026413 
INFO:root:knowledge : 0.015902 
INFO:root:search : 0.013397 
INFO:root:systems : 0.013353 
INFO:root:ontology : 0.010947 
INFO:root:web : 0.010091 
INFO:root:reasoning : 0.009733 
INFO:root:ontologies : 0.008496 
INFO:root:agent : 0.008253 
INFO:root:services : 0.007624 
INFO:root:Topic 1
INFO:root:learning : 0.056391 
INFO:root:classification : 0.015800 
INFO:root:analysis : 0.013121 
INFO:root:information : 0.011851 
INFO:root:extraction : 0.011396 
INFO:root:data : 0.011303 
INFO:root:text : 0.010851 
INFO:root:networks : 0.010851 
INFO:root:support : 0.010636 
INFO:root:selection : 0.010534 
INFO:root:Topic 2
INFO:root:web : 0.035241 
INFO:root:semantic : 0.024024 
INFO:root:data : 0.018185 
INFO:root:system : 0.017074 
INFO:root:information : 0.016217 
INFO:root:agents : 0.014352 
INFO:root:systems : 0.013086 
INFO:root:mining : 0.011886 
INFO:root:adaptive : 0.009620 
INFO:root:agent : 0.009391 
INFO:root:[ iteration ]  step 1
INFO:root:[ iteration ] l2-l1  -998367.601 - -169984.152 = -828383.449 
INFO:root:[ iteration ]  step 2
INFO:root:[ iteration ] l2-l1  -995106.822 - -998367.601 = 3260.779 
INFO:root:[ iteration ]  step 3
INFO:root:[ iteration ] l2-l1  -991471.944 - -995106.822 = 3634.878 
INFO:root:[ iteration ]  step 4
INFO:root:[ iteration ] l2-l1  -987729.658 - -991471.944 = 3742.286 
INFO:root:[ iteration ]  step 5
INFO:root:[ iteration ] l2-l1  -984378.698 - -987729.658 = 3350.961 
INFO:root:[ iteration ]  step 6
INFO:root:[ iteration ] l2-l1  -981644.729 - -984378.698 = 2733.969 
INFO:root:[ iteration ]  step 7
INFO:root:[ iteration ] l2-l1  -979485.698 - -981644.729 = 2159.030 
INFO:root:[ iteration ]  step 8
INFO:root:[ iteration ] l2-l1  -977782.055 - -979485.698 = 1703.643 
INFO:root:[ iteration ]  step 9
INFO:root:[ iteration ] l2-l1  -976421.209 - -977782.055 = 1360.846 
INFO:root:[ iteration ]  step 10
INFO:root:[ iteration ] l2-l1  -975315.440 - -976421.209 = 1105.770 
INFO:root:[ iteration ]  step 11
INFO:root:[ iteration ] l2-l1  -974397.033 - -975315.440 = 918.407 
INFO:root:[ iteration ]  step 12
INFO:root:[ iteration ] l2-l1  -973622.230 - -974397.033 = 774.803 
INFO:root:[ iteration ]  step 13
INFO:root:[ iteration ] l2-l1  -972969.113 - -973622.230 = 653.117 
INFO:root:[ iteration ]  step 14
INFO:root:[ iteration ] l2-l1  -972409.413 - -972969.113 = 559.700 
INFO:root:[ iteration ]  step 15
INFO:root:[ iteration ] l2-l1  -971914.706 - -972409.413 = 494.707 
INFO:root:[ iteration ]  step 16
INFO:root:[ iteration ] l2-l1  -971474.452 - -971914.706 = 440.253 
INFO:root:[ iteration ]  step 17
INFO:root:[ iteration ] l2-l1  -971079.897 - -971474.452 = 394.555 
INFO:root:[ iteration ]  step 18
INFO:root:[ iteration ] l2-l1  -970724.769 - -971079.897 = 355.128 
INFO:root:[ iteration ]  step 19
INFO:root:[ iteration ] l2-l1  -970405.842 - -970724.769 = 318.927 
INFO:root:[ iteration ]  step 20
INFO:root:[ iteration ] l2-l1  -970115.730 - -970405.842 = 290.112 
INFO:root:[ iteration ]  step 21
INFO:root:[ iteration ] l2-l1  -969849.846 - -970115.730 = 265.884 
INFO:root:[ iteration ]  step 22
INFO:root:[ iteration ] l2-l1  -969604.557 - -969849.846 = 245.290 
INFO:root:[ iteration ]  step 23
INFO:root:[ iteration ] l2-l1  -969379.074 - -969604.557 = 225.483 
INFO:root:[ iteration ]  step 24
INFO:root:[ iteration ] l2-l1  -969174.429 - -969379.074 = 204.645 
INFO:root:[ iteration ]  step 25
INFO:root:[ iteration ] l2-l1  -968991.154 - -969174.429 = 183.275 
INFO:root:[ iteration ]  step 26
INFO:root:[ iteration ] l2-l1  -968827.980 - -968991.154 = 163.174 
INFO:root:[ iteration ]  step 27
INFO:root:[ iteration ] l2-l1  -968676.955 - -968827.980 = 151.025 
INFO:root:[ iteration ]  step 28
INFO:root:[ iteration ] l2-l1  -968532.428 - -968676.955 = 144.527 
INFO:root:[ iteration ]  step 29
INFO:root:[ iteration ] l2-l1  -968394.386 - -968532.428 = 138.042 
INFO:root:[ iteration ]  step 30
INFO:root:[ iteration ] l2-l1  -968263.570 - -968394.386 = 130.816 
INFO:root:[ iteration ]  step 31
INFO:root:[ iteration ] l2-l1  -968143.782 - -968263.570 = 119.788 
INFO:root:[ iteration ]  step 32
INFO:root:[ iteration ] l2-l1  -968035.341 - -968143.782 = 108.441 
INFO:root:[ iteration ]  step 33
INFO:root:[ iteration ] l2-l1  -967933.690 - -968035.341 = 101.651 
INFO:root:[ iteration ]  step 34
INFO:root:[ iteration ] l2-l1  -967837.366 - -967933.690 = 96.325 
INFO:root:[ iteration ]  step 35
INFO:root:[ iteration ] l2-l1  -967742.993 - -967837.366 = 94.373 
INFO:root:[ iteration ]  step 36
INFO:root:[ iteration ] l2-l1  -967649.515 - -967742.993 = 93.478 
INFO:root:[ iteration ]  step 37
INFO:root:[ iteration ] l2-l1  -967557.719 - -967649.515 = 91.796 
INFO:root:[ iteration ]  step 38
INFO:root:[ iteration ] l2-l1  -967467.758 - -967557.719 = 89.961 
INFO:root:[ iteration ]  step 39
INFO:root:[ iteration ] l2-l1  -967382.754 - -967467.758 = 85.004 
INFO:root:[ iteration ]  step 40
INFO:root:[ iteration ] l2-l1  -967303.344 - -967382.754 = 79.410 
INFO:root:[ iteration ]  step 41
INFO:root:[ iteration ] l2-l1  -967224.385 - -967303.344 = 78.959 
INFO:root:[ iteration ]  step 42
INFO:root:[ iteration ] l2-l1  -967146.779 - -967224.385 = 77.606 
INFO:root:[ iteration ]  step 43
INFO:root:[ iteration ] l2-l1  -967071.526 - -967146.779 = 75.253 
INFO:root:[ iteration ]  step 44
INFO:root:[ iteration ] l2-l1  -966997.991 - -967071.526 = 73.535 
INFO:root:[ iteration ]  step 45
INFO:root:[ iteration ] l2-l1  -966927.228 - -966997.991 = 70.763 
INFO:root:[ iteration ]  step 46
INFO:root:[ iteration ] l2-l1  -966859.412 - -966927.228 = 67.816 
INFO:root:[ iteration ]  step 47
INFO:root:[ iteration ] l2-l1  -966795.643 - -966859.412 = 63.769 
INFO:root:[ iteration ]  step 48
INFO:root:[ iteration ] l2-l1  -966738.362 - -966795.643 = 57.281 
INFO:root:[ iteration ]  step 49
INFO:root:[ iteration ] l2-l1  -966685.712 - -966738.362 = 52.650 
INFO:root:[ iteration ]  step 50
INFO:root:[ iteration ] l2-l1  -966634.381 - -966685.712 = 51.331 
INFO:root:[ iteration ]  step 51
INFO:root:[ iteration ] l2-l1  -966584.513 - -966634.381 = 49.868 
INFO:root:[ iteration ]  step 52
INFO:root:[ iteration ] l2-l1  -966535.923 - -966584.513 = 48.590 
INFO:root:[ iteration ]  step 53
INFO:root:[ iteration ] l2-l1  -966486.751 - -966535.923 = 49.172 
INFO:root:[ iteration ]  step 54
INFO:root:[ iteration ] l2-l1  -966433.863 - -966486.751 = 52.888 
INFO:root:[ iteration ]  step 55
INFO:root:[ iteration ] l2-l1  -966377.008 - -966433.863 = 56.855 
INFO:root:[ iteration ]  step 56
INFO:root:[ iteration ] l2-l1  -966318.560 - -966377.008 = 58.448 
INFO:root:[ iteration ]  step 57
INFO:root:[ iteration ] l2-l1  -966262.995 - -966318.560 = 55.564 
INFO:root:[ iteration ]  step 58
INFO:root:[ iteration ] l2-l1  -966209.582 - -966262.995 = 53.413 
INFO:root:[ iteration ]  step 59
INFO:root:[ iteration ] l2-l1  -966156.205 - -966209.582 = 53.377 
INFO:root:[ iteration ]  step 60
